date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-05-14,META,309.54,316.85,309.08,315.94,19245724,6.4,2.07,312.8525,0.16595933129128682,2021-05-14,19245724,315.94
2021-05-17,META,313.55,315.68,311.58,315.46,15401343,1.91,0.60915,314.0675,0.16418791748163986,2021-05-17,15401343,315.46
2021-05-18,META,315.59,316.5,309.81,309.96,14522403,-5.63,-1.78,312.965,0.14389046757943658,2021-05-18,14522403,309.96
2021-05-19,META,304.19,314.66,303.57,313.59,19106244,9.4,3.09,309.0025,0.15728678451489064,2021-05-19,19106244,313.59
2021-05-20,META,313.58,319.25,313.16,318.61,17320241,5.03,1.6,316.15,0.17581282060744718,2021-05-20,17320241,318.61
2021-05-21,META,319.29,319.93,315.81,316.23,13600901,-3.06,-0.95838,317.815,0.16702956046794837,2021-05-21,13600901,316.23
2021-05-24,META,318.21,325.95,318.03,324.63,16445400,6.42,2.02,321.705,0.19802930213676784,2021-05-24,16445400,324.63
2021-05-25,META,327.08,329.18,324.8,327.79,16437000,0.71,0.21707,327.2125,0.20969110971694271,2021-05-25,16437000,327.79
2021-05-26,META,328.35,329.83,325.82,327.66,9686917,-0.69,-0.21014,327.915,0.20921135181016348,2021-05-26,9686917,327.66
2021-05-27,META,328.0,333.78,326.76,332.75,20477726,4.75,1.45,330.3225,0.2279957190832933,2021-05-27,20477726,332.75
2021-05-28,META,331.0,332.87,328.33,328.73,12037430,-2.27,-0.6858,330.2325,0.2131601284275011,2021-05-28,12037430,328.73
2021-06-01,META,330.15,331.42,326.64,329.13,11765906,-1.02,-0.30895,329.335,0.21463630660220678,2021-06-01,11765906,329.13
2021-06-02,META,330.38,331.87,327.12,329.15,11654300,-1.23,-0.3723,329.63,0.21471011551094188,2021-06-02,11654300,329.15
2021-06-03,META,325.78,327.38,323.48,326.04,12610800,0.26,0.07980846,325.67,0.2032328302026054,2021-06-03,12610800,326.04
2021-06-04,META,325.9,332.46,325.18,330.35,13289400,4.45,1.37,328.4725,0.21913865003505917,2021-06-04,13289400,330.35
2021-06-07,META,329.48,337.69,328.93,336.58,20136707,7.1,2.15,333.17,0.2421301251061001,2021-06-07,20136707,336.58
2021-06-08,META,336.7,338.3,332.24,333.68,14580500,-3.02,-0.89694,335.23,0.2314278333394839,2021-06-08,14580500,333.68
2021-06-09,META,335.74,336.8,330.0,330.25,13727946,-5.49,-1.64,333.1975,0.21876960549138258,2021-06-09,13727946,330.25
2021-06-10,META,330.79,333.94,328.55,332.46,13240229,1.67,0.50485,331.435,0.22692548990663153,2021-06-10,13240229,332.46
2021-06-11,META,332.58,332.83,328.93,331.26,13587916,-1.32,-0.3969,331.4,0.22249695538251446,2021-06-11,13587916,331.26
2021-06-14,META,331.9,336.82,329.81,336.77,12250800,4.87,1.47,333.825,0.2428313097390853,2021-06-14,12250800,336.77
2021-06-15,META,336.99,339.92,335.03,336.75,15795226,-0.24,-0.07121873,337.1725,0.2427575008303502,2021-06-15,15795226,336.75
2021-06-16,META,336.7,337.55,328.72,331.08,17232200,-5.62,-1.67,333.5125,0.22183267520389682,2021-06-16,17232200,331.08
2021-06-17,META,330.49,337.98,330.15,336.51,17794100,6.02,1.82,333.7825,0.2418717939255266,2021-06-17,17794100,336.51
2021-06-18,META,334.53,336.15,329.0,329.66,23039500,-4.87,-1.46,332.335,0.21659224268369193,2021-06-18,23039500,329.66
2021-06-21,META,331.09,332.92,327.65,332.29,11337522,1.2,0.36244,330.9875,0.22629811418238166,2021-06-21,11337522,332.29
2021-06-22,META,332.69,339.92,332.6,339.03,15345300,6.34,1.91,336.06,0.2511717164261724,2021-06-22,15345300,339.03
2021-06-23,META,339.35,343.42,338.2,340.59,14817824,1.24,0.3654,340.39,0.25692881130752454,2021-06-23,14817824,340.59
2021-06-24,META,341.85,344.9,341.79,343.18,12329100,1.33,0.38906,342.93,0.2664870649887441,2021-06-24,12329100,343.18
2021-06-25,META,342.59,344.12,339.68,341.37,14594444,-1.22,-0.35611,341.94,0.2598073587482008,2021-06-25,14594444,341.37
2021-06-28,META,342.46,358.14,341.77,355.64,29156132,13.18,3.85,349.5025,0.3124700151308262,2021-06-28,29156132,355.64
2021-06-29,META,356.27,356.74,349.05,351.89,21417305,-4.38,-1.23,353.4875,0.2986308447429602,2021-06-29,21417305,351.89
2021-06-30,META,352.17,352.92,347.17,347.71,15107514,-4.46,-1.27,349.9925,0.2832047828172859,2021-06-30,15107514,347.71
2021-07-01,META,346.82,354.67,346.5,354.39,17137021,7.57,2.18,350.595,0.3078569583348709,2021-07-01,17137021,354.39
2021-07-02,META,355.1,356.44,352.62,354.7,11524614,-0.4,-0.11264,354.715,0.3090009964202678,2021-07-02,11524614,354.7
2021-07-06,META,356.5,358.79,349.18,352.78,13488500,-3.72,-1.04,354.3125,0.3019153411816804,2021-07-06,13488500,352.78
2021-07-07,META,355.26,356.49,350.0,350.49,14218900,-4.77,-1.34,353.06,0.2934642211314904,2021-07-07,14218900,350.49
2021-07-08,META,345.73,348.33,342.56,345.65,14406500,-0.08,-0.02313944,345.5675,0.2756024652175515,2021-07-08,14406500,345.65
2021-07-09,META,345.32,350.71,345.27,350.42,13018700,5.1,1.48,347.93,0.2932058899509169,2021-07-09,13018700,350.42
2021-07-12,META,351.23,354.19,349.64,353.16,10018624,1.93,0.5495,352.055,0.303317710447651,2021-07-12,10018624,353.16
2021-07-13,META,351.5,358.49,348.8,352.09,11456000,0.59,0.16785,352.72,0.29936893383031316,2021-07-13,11456000,352.09
2021-07-14,META,354.56,355.2,346.73,347.63,13894221,-6.93,-1.95,351.03,0.28290954718234484,2021-07-14,13894221,347.63
2021-07-15,META,349.23,349.23,340.22,344.46,14781600,-4.77,-1.37,345.785,0.2712108351478022,2021-07-15,14781600,344.46
2021-07-16,META,344.91,345.99,340.14,341.16,11026100,-3.75,-1.09,343.05,0.2590323652064803,2021-07-16,11026100,341.16
2021-07-19,META,337.57,339.79,334.54,336.95,14372345,-0.62,-0.18367,337.2125,0.24349558991770293,2021-07-19,14372345,336.95
2021-07-20,META,338.8,343.45,334.5,341.66,11024300,2.86,0.84416,339.6025,0.2608775879248626,2021-07-20,11024300,341.66
2021-07-21,META,341.5,346.52,341.25,346.23,9279700,4.73,1.39,343.875,0.27774292357087504,2021-07-21,9279700,346.23
2021-07-22,META,346.68,351.54,345.21,351.19,12385441,4.51,1.3,348.655,0.2960475329372254,2021-07-22,12385441,351.19
2021-07-23,META,360.91,375.33,357.19,369.79,33694328,8.88,2.46,365.805,0.36468981806103984,2021-07-23,33694328,369.79
2021-07-26,META,369.58,374.44,368.22,372.46,14925222,2.88,0.77926,371.175,0.3745433073772002,2021-07-26,14925222,372.46
2021-07-27,META,371.91,373.15,364.55,367.81,15705447,-4.1,-1.1,369.355,0.3573827360962467,2021-07-27,15705447,367.81
2021-07-28,META,374.56,377.55,366.93,373.28,29676910,-1.28,-0.34173,373.08,0.3775694726353469,2021-07-28,29676910,373.28
2021-07-29,META,361.0,365.52,356.74,358.32,33413244,-2.68,-0.74238,360.395,0.3223604089013543,2021-07-29,33413244,358.32
2021-07-30,META,354.0,360.73,352.94,356.3,15976200,2.3,0.64972,355.9925,0.31490570911909055,2021-07-30,15976200,356.3
2021-08-02,META,358.1,359.4,350.74,351.95,13180439,-6.15,-1.72,355.0475,0.29885227146916615,2021-08-02,13180439,351.95
2021-08-03,META,352.73,353.77,347.7,351.24,12406100,-1.49,-0.42242,351.36,0.2962320552090636,2021-08-03,12406100,351.24
2021-08-04,META,352.42,360.48,351.51,358.92,14180600,6.5,1.84,355.8325,0.32457467616341296,2021-08-04,14180600,358.92
2021-08-05,META,359.64,363.9,356.9,362.97,10247207,3.33,0.92593,360.8525,0.33952098018230803,2021-08-05,10247207,362.97
2021-08-06,META,361.4,365.15,361.4,363.51,8925017,2.11,0.58384,362.865,0.3415138207181605,2021-08-06,8925017,363.51
2021-08-09,META,363.76,365.78,360.75,361.61,7798900,-2.15,-0.59105,362.975,0.33450197438830864,2021-08-09,7798900,361.61
2021-08-10,META,361.83,364.1,359.04,361.13,7469900,-0.695,-0.19346,361.525,0.3327305605786617,2021-08-10,7469900,361.13
2021-08-11,META,362.1,362.36,357.81,359.96,8400332,-2.14,-0.591,360.5575,0.3284127394176475,2021-08-11,8400332,359.96
2021-08-12,META,358.45,363.0,357.11,362.65,7175206,4.2,1.17,360.3025,0.33834003764254317,2021-08-12,7175206,362.65
2021-08-13,META,362.97,364.66,361.48,363.18,7195724,0.21,0.05785602,363.0725,0.3402959737240283,2021-08-13,7195724,363.18
2021-08-16,META,362.52,366.95,357.38,366.56,11232269,4.04,1.11,363.3525,0.35276967930029146,2021-08-16,11232269,366.56
